marca,nacionalidade,gênero_alvo,idade_alvo,classe_alvo,faturamento(bilhoes_de_reais),relação_sustentabilidade,lojas_físicas_br,processos_trabalho_escravo,principais_países_fornecedores,reincide_contrato,canal_denuncia,grife_ou_fastfashion
Richards,Brasil,Homens e mulheres,"Infantil, jovem, adulto",A,S/I,S/I,49,Não,Londres,Sim,Sim,Fast Fashion
Hering,Brasil,Homens e mulheres,"Infantil, jovem, adulto",B,0.65,É um começo,778,Não,Brasil,Sim,Sim,Fast Fashion
Animale,Brasil,Mulheres,Adulto,A,0.65,Boa,70,Sim,França,Sim,Não,Fast Fashion
Calvin Klein,EUA,Homens e mulheres,"Jovem, adulto",A,"48,495",É um começo,42,Não,China,Sim,Sim,Fast Fashion
Handbook,Brasil,Mulheres,Jovem,B,S/I,S/I,30,Sim,S/I,Não,Não,Fast Fashion
John John,Brasil,Homens e mulheres,Jovem,A,"1,1",Ótima,55,Sim,Brasil,Sim,Não,Fast Fashion
Le lis blanc,Brasil,Mulheres,"Infantil, jovem, adulto",A,"1,1",Ótima,95,Sim,Brasil,Sim,Não,Fast Fashion
Marisa,Brasil,Mulheres,"Infantil, jovem, adulto",C,0,É um começo,400,Sim,Brasil,Sim,Sim,Fast Fashion
Reebok,Inglaterra,Homens e mulheres,"Jovem, adulto",B,"7,95",É um começo,1,Não,Ásia,Sim,Sim,Fast Fashion
Rosa chá,Brasil,Mulheres,"Jovem, adulto",A,"1,1",Ótima,8,Sim,Brasil,Sim,Não,Fast Fashion
Scene,Brasil,Mulheres,Adulto,B,S/I,Boa,35,Não,S/I,Sim,Sim,Fast Fashion
Zig Zig Zaa,Brasil,Homens e mulheres,Infantil,B,S/I,Boa,30,Não,Brasil,Sim,Sim,Fast Fashion
Maria Filó,Brasil,Mulheres,"Jovem, adulto",A,"0,65",Ótima,32,Não,Brasil,Sim,Não,Fast Fashion
Adidas,Alemanha,Homens e mulheres,Jovem,A,127,É um começo,25,Não,China,Sim,Sim,Fast Fashion
Sorella Organics,Australia,Homens e mulheres,Adulto,B,S/I,Ótima,0,Não,Australia,Sim,Sim,Fast Fashion
"Neu Nomads",Alemanha,Mulheres,Adulto,A,S/I,Ótima,0,Não,Lituania,Sim,Sim,Fast Fashion
Dorsu,Camboja,Homens e mulheres,Adulto,A,S/I,Ótima,0,Não,Cambodia,Sim,Sim,Fast Fashion
Dedicated,Suécia,Homens e mulheres,"Infantil, jovem, adulto",A,S/I,Ótima,0,Não,Suiça,Sim,Sim,Fast Fashion
Citizen Wolf,Australia,Homens e mulheres,Adulto,A,S/I,Ótima,0,Não,Austrália,Sim,Sim,Fast Fashion
Diesel,Itália,Homens e mulheres,"Infantil, jovem, adulto",A,5,Muito ruim,17,Não,Itália,Não,Não,Fast Fashion
Lacoste,França,Homens e mulheres,"Infantil, jovem, adulto",A,"15,3",Não é boa o suficiente,18,Sim,França,Não,Não,Fast Fashion
Ralph Lauren,Brasil,Homens e mulheres,"Infantil, jovem, adulto",AA,S/I,É um começo,1,Não,China,S/I,S/I,Grife
Reserva,Brasil,Homens e mulheres,"Infantil, jovem, adulto",A,0.15,Não é boa o suficiente,78,Não,Brasil,Sim,Sim,Fast Fashion
Victoria's Secret,EUA,Mulheres,"Jovem, adulto",B,"4,222",Não é boa o suficiente,0,Sim,Vietnã,Não,Não,Fast Fashion
Pernambucanas,Brasil,Homens e mulheres,"Infantil, jovem, adulto",D,5,Boa,468,Sim,Brasil,Não,Não,Fast Fashion
Versace,Itália,Homens e mulheres,"Infantil, jovem, adulto",AA,"4,11",Não é boa o suficiente,0,Não,Itália,Não,Não,Grife
Levi's,EUA,Homens e mulheres,"Infantil, jovem, adulto",A,22,Boa,84,Não,Índia,Não,Não,Fast Fashion
Burberry,Inglaterra,Homens e mulheres,"Infantil, jovem, adulto",AA,45,Boa,6,Não,Inglaterra,Sim,Não,Grife
Gucci,Itália,Homens e mulheres,"Jovem, adulto",AA,"52,75",Boa,6,Não,Itália,Sim,Não,Grife
